,2015-04-26,2015-05-03,2015-05-10,2015-05-17,2015-05-24,2015-05-31,2015-06-07,2015-06-14,2015-06-21,2015-06-28,2015-07-05,2015-07-12,2015-07-19,2015-07-26,2015-08-02,2015-08-09,2015-08-16,2015-08-23,2015-08-30,2015-09-06,2015-09-13,2015-09-20,2015-09-27,2015-10-04,2015-10-11,2015-10-18,2015-10-25,2015-11-01,2015-11-08,2015-11-15,2015-11-22,2015-11-29,2015-12-06,2015-12-13,2015-12-20,2015-12-27,2016-01-03,2016-01-10,2016-01-17,2016-01-24,2016-01-31,2016-02-07,2016-02-14,2016-02-21,2016-02-28,2016-03-06,2016-03-13,2016-03-20,2016-03-27,2016-04-03,2016-04-10,2016-04-17,2016-04-24,2016-05-01,2016-05-08,2016-05-15,2016-05-22,2016-05-29,2016-06-05,2016-06-12,2016-06-19,2016-06-26,2016-07-03,2016-07-10,2016-07-17,2016-07-24,2016-07-31,2016-08-07,2016-08-14,2016-08-21,2016-08-28,2016-09-04,2016-09-11,2016-09-18,2016-09-25,2016-10-02,2016-10-09,2016-10-16,2016-10-23,2016-10-30,2016-11-06,2016-11-13,2016-11-20,2016-11-27,2016-12-04,2016-12-11,2016-12-18,2016-12-25,2017-01-01,2017-01-08,2017-01-15,2017-01-22,2017-01-29,2017-02-05,2017-02-12,2017-02-19,2017-02-26,2017-03-05,2017-03-12,2017-03-19,2017-03-26,2017-04-02,2017-04-09,2017-04-16,2017-04-23,2017-04-30,2017-05-07,2017-05-14,2017-05-21,2017-05-28,2017-06-04,2017-06-11,2017-06-18,2017-06-25,2017-07-02,2017-07-09,2017-07-16,2017-07-23,2017-07-30,2017-08-06,2017-08-13,2017-08-20,2017-08-27,2017-09-03,2017-09-10,2017-09-17,2017-09-24,2017-10-01,2017-10-08,2017-10-15,2017-10-22,2017-10-29,2017-11-05,2017-11-12,2017-11-19,2017-11-26,2017-12-03,2017-12-10,2017-12-17,2017-12-24,2017-12-31,2018-01-07,2018-01-14,2018-01-21,2018-01-28,2018-02-04,2018-02-11,2018-02-18,2018-02-25,2018-03-04,2018-03-11,2018-03-18,2018-03-25,2018-04-01,2018-04-08,2018-04-15,2018-04-22,2018-04-29,2018-05-06,2018-05-13,2018-05-20,2018-05-27,2018-06-03,2018-06-10,2018-06-17,2018-06-24,2018-07-01,2018-07-08,2018-07-15,2018-07-22,2018-07-29,2018-08-05,2018-08-12,2018-08-19,2018-08-26,2018-09-02,2018-09-09,2018-09-16,2018-09-23,2018-09-30,2018-10-07,2018-10-14,2018-10-21,2018-10-28,2018-11-04,2018-11-11,2018-11-18,2018-11-25,2018-12-02,2018-12-09,2018-12-16,2018-12-23,2018-12-30,2019-01-06,2019-01-13,2019-01-20,2019-01-27,2019-02-03,2019-02-10,2019-02-17,2019-02-24,2019-03-03,2019-03-10,2019-03-17,2019-03-24,2019-03-31,2019-04-07,2019-04-14,2019-04-21,2019-04-28,2019-05-05,2019-05-12,2019-05-19,2019-05-26,2019-06-02,2019-06-09,2019-06-16,2019-06-23,2019-06-30,2019-07-07,2019-07-14,2019-07-21,2019-07-28,2019-08-04,2019-08-11,2019-08-18,2019-08-25,2019-09-01,2019-09-08,2019-09-15,2019-09-22,2019-09-29,2019-10-06,2019-10-13,2019-10-20,2019-10-27,2019-11-03,2019-11-10,2019-11-17,2019-11-24,2019-12-01,2019-12-08,2019-12-15,2019-12-22,2019-12-29,2020-01-05,2020-01-12,2020-01-19,2020-01-26,2020-02-02,2020-02-09,2020-02-16,2020-02-23,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19
zapatos,80,85,82,84,77,80,70,68,64,68,68,61,57,57,55,57,62,64,68,81,78,78,78,84,92,83,71,74,73,68,79,71,72,72,65,77,89,79,73,68,69,67,65,69,72,73,79,81,88,91,94,94,96,94,91,95,89,87,84,79,73,74,83,70,64,61,62,53,52,67,69,69,82,81,80,88,100,91,78,81,76,73,87,75,79,76,65,81,82,84,75,73,71,70,70,73,77,85,84,84,92,94,98,99,91,94,95,96,91,89,82,75,73,76,83,77,66,65,68,64,58,62,73,74,76,82,73,72,79,81,81,79,83,81,93,80,78,70,65,77,72,81,72,75,73,69,66,70,71,71,73,76,78,85,85,95,92,97,93,86,82,79,77,77,71,70,78,71,70,65,61,60,62,63,67,71,74,71,77,82,87,86,86,81,76,71,87,72,68,70,63,74,72,83,70,61,68,65,64,70,74,72,76,78,86,83,83,77,81,83,90,85,80,74,73,72,70,70,75,69,64,61,64,57,55,58,66,67,72,69,76,74,75,78,82,74,73,70,68,86,70,70,64,65,73,83,71,63,64,66,65,67,63,73,48,29,24,26,35,34,43
zapatillas,47,44,42,39,40,41,39,34,32,35,37,31,33,33,34,33,39,45,46,44,45,48,44,44,48,44,40,41,41,43,50,44,52,53,56,66,71,54,47,47,46,41,38,44,44,43,48,49,55,49,51,49,48,51,49,52,45,48,44,40,35,38,40,39,35,38,36,35,36,43,50,47,51,55,50,52,59,50,45,47,46,44,58,49,54,56,53,69,72,61,47,42,45,43,47,42,43,50,49,47,51,49,53,54,48,51,46,45,47,46,43,40,36,37,44,42,38,43,45,48,37,39,56,53,58,56,54,50,66,53,50,54,59,54,69,59,56,65,62,74,75,68,57,54,52,47,49,50,46,48,49,51,53,56,46,56,56,58,52,52,50,52,56,50,43,45,50,46,49,47,46,43,45,44,56,56,60,60,60,61,61,59,60,55,63,58,81,63,64,63,72,85,81,89,63,55,57,56,58,56,54,56,64,68,67,62,63,54,56,58,72,61,57,54,50,56,52,50,54,54,52,49,52,53,51,54,60,64,69,65,68,64,65,67,64,64,61,63,66,90,74,75,76,87,90,100,71,59,65,68,62,63,63,63,45,21,25,25,35,39,50
electrodomesticos,60,54,59,54,54,62,58,58,66,79,87,83,76,70,69,66,67,68,67,62,63,54,59,56,54,57,57,57,55,61,96,62,57,63,54,74,74,67,71,62,60,55,59,56,54,55,50,48,62,54,47,59,60,54,54,54,59,51,68,55,58,60,70,66,65,57,73,58,56,57,61,61,61,56,52,52,57,60,60,55,69,62,100,69,68,61,59,69,77,78,77,64,65,69,58,54,51,50,51,53,58,50,43,53,55,45,53,52,48,55,53,71,70,72,67,64,59,51,65,68,58,60,56,56,57,57,56,56,47,51,56,52,61,61,91,60,61,61,54,62,63,73,68,51,51,56,53,53,55,46,47,55,53,52,50,49,47,49,46,49,44,55,54,47,59,57,68,60,59,56,67,75,57,63,60,57,51,49,53,49,47,54,50,55,58,64,85,60,51,59,46,50,64,69,67,49,55,53,48,43,51,53,51,43,46,50,48,41,47,42,47,48,45,51,48,53,46,60,61,59,59,56,58,56,52,57,52,50,49,47,46,47,42,46,51,45,56,53,64,77,53,53,47,50,58,65,69,47,51,58,46,45,42,47,39,28,28,37,42,45,53
perfume,23,19,21,17,19,19,17,21,18,20,16,19,19,20,21,21,22,19,22,24,23,23,23,25,24,27,22,25,27,27,36,41,44,53,59,61,62,27,21,21,21,23,22,21,23,23,23,19,20,22,22,24,29,25,23,20,21,23,20,22,21,20,23,22,22,23,20,22,19,23,23,22,23,25,26,27,29,26,27,27,26,33,47,38,48,56,60,66,73,30,21,24,24,22,25,22,22,24,26,20,22,26,19,23,26,34,25,22,21,22,21,20,21,21,25,23,23,24,26,25,21,26,26,29,30,29,28,28,29,29,29,27,29,34,52,39,45,52,69,69,79,36,28,23,22,24,27,24,21,22,24,26,22,24,26,24,28,36,28,23,25,25,25,24,24,24,29,28,23,27,27,28,26,28,28,29,29,30,31,33,33,30,31,30,32,37,54,46,51,59,74,89,94,50,29,28,29,31,35,26,28,27,32,31,27,28,27,26,30,37,30,27,24,23,28,28,25,27,30,28,30,28,32,29,29,32,30,32,35,35,35,39,38,35,33,36,35,37,37,58,53,61,75,85,100,59,36,29,29,31,37,30,26,29,22,13,13,14,18,19,20
farmacia,40,33,36,35,33,34,35,35,40,37,37,39,41,37,39,38,38,36,37,40,37,36,37,36,40,36,34,38,35,34,36,37,45,36,42,44,38,35,37,35,38,37,36,39,40,38,36,51,40,37,36,36,39,38,36,41,40,39,40,41,46,39,41,43,43,42,43,37,42,40,42,40,41,41,40,40,45,41,37,44,40,38,35,41,48,38,39,51,51,42,42,42,46,43,43,42,44,40,44,41,45,44,56,48,42,48,43,43,41,43,43,48,47,48,49,51,48,50,48,49,54,46,43,46,45,46,45,43,49,38,39,46,41,41,41,44,57,43,44,63,63,47,46,45,46,43,45,44,43,42,40,41,60,49,43,45,44,52,44,49,44,47,48,50,48,52,51,52,56,52,56,54,63,51,49,47,49,49,46,50,52,43,44,50,45,45,40,47,54,45,45,62,63,53,49,46,45,50,50,48,48,49,50,52,52,46,48,63,51,53,50,50,53,51,51,52,52,60,56,52,60,56,57,58,64,56,53,53,50,49,54,55,58,48,48,56,51,47,46,46,56,52,50,65,65,61,52,56,53,53,51,50,66,55,70,92,82,82,100,93,70
muebles,50,51,49,53,48,51,51,51,49,51,52,52,51,55,61,59,59,62,61,61,58,59,57,62,61,58,56,59,58,58,60,51,51,45,37,50,61,69,69,69,64,69,66,67,68,66,59,62,65,62,60,60,58,57,60,58,57,56,52,50,50,49,58,53,55,59,61,54,51,60,62,58,61,59,62,59,61,60,56,58,58,60,58,55,58,48,37,47,53,62,64,66,65,66,63,61,62,62,59,61,100,60,55,59,57,58,56,57,53,54,53,51,50,57,62,59,61,60,62,59,57,61,66,58,60,60,58,54,61,59,58,60,64,63,63,55,54,50,41,47,46,64,67,66,64,60,62,65,64,62,56,60,56,60,59,57,53,60,53,54,55,54,56,53,52,49,59,54,56,57,57,57,56,61,62,59,60,59,59,55,56,57,56,54,61,60,60,54,58,48,43,45,51,59,63,62,66,61,64,62,59,60,62,63,61,60,56,57,56,49,54,52,54,50,51,57,51,51,54,54,53,55,54,57,55,61,61,56,56,57,58,57,53,54,54,53,55,55,57,57,52,50,42,40,49,58,59,61,58,61,58,58,57,58,40,27,29,30,46,45,56
lamparas,62,56,57,61,53,63,60,64,59,45,53,56,59,66,71,65,71,78,70,71,84,70,75,82,78,76,77,80,78,90,86,86,100,76,63,84,79,97,90,85,75,92,86,85,90,85,80,82,73,74,73,75,74,74,80,69,64,69,57,66,65,58,57,68,70,66,80,70,57,78,72,75,78,67,86,71,86,87,85,92,93,89,95,87,100,82,68,77,78,95,87,91,94,90,94,83,80,81,91,86,87,71,76,63,74,71,67,67,65,68,65,61,65,59,81,61,72,74,72,71,73,73,84,73,72,89,79,75,79,78,78,83,100,97,85,95,98,84,69,79,87,81,99,92,94,76,83,84,90,83,80,79,64,73,77,60,62,77,70,71,62,64,62,59,57,60,67,65,76,69,73,61,71,81,82,84,81,83,75,78,79,74,84,77,92,79,90,80,82,70,74,66,82,79,85,80,87,74,81,77,73,66,68,74,81,61,71,73,70,54,67,58,62,48,52,63,55,57,66,61,67,62,58,61,70,69,76,76,73,66,80,67,73,68,66,70,84,80,80,82,78,82,70,75,78,77,79,80,76,80,75,75,80,78,49,32,36,43,53,56,60
reloj,34,33,32,31,31,34,33,35,37,32,35,34,34,34,36,37,37,37,39,38,38,39,37,43,37,41,43,39,43,44,51,53,60,64,64,70,74,46,38,40,40,42,37,38,39,40,37,36,42,38,39,38,38,38,36,38,35,35,38,33,34,35,37,35,33,36,37,34,33,36,37,38,39,39,39,39,42,42,42,47,45,45,49,53,58,64,63,76,79,50,42,39,42,39,38,38,36,38,38,39,45,40,35,37,37,41,37,38,37,38,38,40,37,33,38,39,36,36,36,38,37,38,38,36,43,38,39,40,43,41,40,47,46,46,54,50,56,58,64,79,74,53,43,40,40,38,41,38,38,41,43,40,44,39,39,39,39,44,42,41,40,39,41,40,37,39,39,41,42,41,41,42,43,44,44,45,44,46,44,45,55,51,55,56,52,54,64,57,61,70,71,86,85,72,50,43,51,49,49,45,42,44,46,46,48,50,46,44,44,46,49,45,45,43,44,50,46,45,46,45,47,45,47,46,46,49,46,44,47,49,51,49,51,52,51,61,55,52,58,72,70,74,77,97,100,90,61,51,49,52,52,48,47,49,36,26,28,37,38,38,42
iphone,35,34,33,32,32,33,35,37,38,41,41,40,43,44,44,45,45,47,44,57,47,47,44,47,48,45,41,41,41,39,42,40,44,42,48,52,52,43,40,40,36,37,36,43,40,37,38,50,47,40,39,35,34,34,34,35,35,34,33,33,37,36,39,45,45,47,45,43,44,47,48,92,72,59,51,45,47,45,42,42,41,42,45,40,43,42,46,58,56,45,41,36,36,35,35,35,33,33,33,36,36,33,35,34,32,34,34,33,30,31,33,33,36,37,39,39,41,41,44,44,41,46,46,47,100,56,50,43,46,43,45,54,54,48,53,47,50,47,50,65,59,50,43,39,36,35,37,47,37,35,34,35,35,35,33,34,31,35,32,32,32,31,33,32,32,36,36,37,40,39,41,40,41,38,38,36,54,48,43,38,35,36,37,38,35,38,43,37,35,36,37,53,45,46,35,30,29,29,29,29,29,30,30,30,29,29,28,29,29,27,27,27,29,28,28,30,30,32,33,32,33,33,35,36,35,36,36,35,63,49,51,45,44,41,38,37,37,38,41,46,41,40,40,55,50,50,37,34,34,33,32,31,31,32,26,26,27,30,33,40,41
samsung,72,69,65,65,61,63,64,68,68,72,73,72,73,73,75,77,75,74,75,75,73,70,67,65,69,64,66,68,66,71,93,82,80,81,89,100,96,71,68,66,60,68,65,86,70,70,68,69,66,61,57,55,58,57,59,58,55,59,59,56,60,62,69,68,69,73,74,65,68,70,71,68,65,60,57,53,71,61,56,62,58,60,86,70,69,71,70,86,90,71,65,60,60,58,56,56,58,57,55,53,68,56,55,61,56,59,55,56,50,49,51,52,55,60,60,60,59,61,63,60,56,63,67,59,59,57,59,52,57,52,52,54,57,59,91,66,63,63,61,80,75,65,59,51,50,50,50,50,62,51,51,51,50,50,44,46,42,47,46,47,46,48,49,43,46,47,49,50,54,51,52,55,56,59,57,54,56,53,52,48,49,47,49,52,51,54,83,61,54,57,57,74,66,65,54,47,47,49,48,66,61,59,55,54,52,46,51,50,52,49,51,48,59,54,53,53,53,60,61,58,60,55,56,62,57,60,58,55,56,56,59,53,52,49,49,52,54,52,60,85,65,57,58,71,71,72,55,50,49,50,61,56,51,51,45,39,48,46,49,48,55
ordenador,54,47,50,55,49,51,51,56,48,46,48,49,50,53,49,50,55,56,55,57,62,67,69,68,66,64,62,56,60,62,63,61,59,60,59,65,64,61,57,57,51,56,56,56,53,54,49,48,50,51,51,44,49,49,46,47,49,47,46,44,46,39,40,43,41,42,44,41,36,44,48,51,51,55,63,58,57,57,52,58,58,59,59,54,59,57,52,62,62,59,55,50,47,58,51,47,51,49,48,52,54,53,41,45,46,43,45,44,40,41,42,42,39,38,38,38,36,41,39,38,39,37,44,46,51,51,57,52,52,51,57,51,55,56,65,56,49,56,47,52,48,52,54,55,49,46,47,49,50,46,48,44,43,43,44,44,37,41,40,43,42,44,44,43,40,38,37,35,38,33,36,36,34,39,42,43,46,54,56,52,47,56,52,49,52,57,59,53,48,51,44,50,43,50,50,43,45,43,45,45,42,41,42,40,44,44,45,35,36,36,39,36,39,39,38,40,35,35,32,34,35,31,33,33,32,37,37,43,44,53,55,53,53,48,52,44,50,51,51,53,52,48,48,45,44,47,47,47,45,47,48,44,41,44,51,96,93,90,97,99,100
PC,83,75,73,76,70,75,73,82,81,74,78,77,78,83,84,84,86,90,89,87,81,82,80,82,84,79,78,81,78,78,89,79,84,82,89,96,88,70,68,70,68,68,66,68,67,67,66,74,66,64,63,60,61,60,61,63,60,62,59,62,62,59,64,61,60,65,66,64,65,65,63,66,66,66,65,64,67,63,65,71,63,69,75,71,73,68,68,82,82,67,64,65,61,64,58,59,61,59,58,59,58,56,58,57,52,55,53,50,48,49,49,50,47,50,51,51,52,52,52,51,50,51,55,55,52,53,55,51,54,53,53,55,55,57,68,58,61,57,55,65,62,59,53,54,54,54,53,51,54,51,50,54,59,51,51,49,46,51,46,46,48,48,48,50,46,47,47,46,47,47,47,49,48,49,50,50,50,50,52,53,51,49,50,53,49,54,74,59,53,51,49,59,56,55,50,43,47,46,46,43,45,43,42,44,44,42,43,42,42,40,40,38,41,38,41,44,42,41,44,43,41,39,42,40,44,43,44,46,47,47,46,48,51,49,47,48,50,48,53,70,53,51,52,58,57,52,50,50,48,47,47,48,45,48,53,96,93,92,97,100,97
combustible,42,42,49,40,42,53,48,53,38,41,29,48,45,56,59,39,46,44,39,42,42,39,38,61,48,46,49,38,43,47,53,52,41,43,48,34,43,40,33,59,57,43,50,50,42,46,45,35,46,35,53,34,45,50,55,43,35,67,57,49,43,39,46,46,52,41,61,38,33,45,43,44,44,39,51,53,44,43,59,50,48,45,56,67,45,36,43,50,43,52,46,43,49,47,60,30,55,46,47,47,44,60,43,43,45,50,45,56,56,49,63,55,46,50,40,41,54,59,41,55,29,37,45,40,49,48,52,41,49,40,54,65,47,51,71,61,59,38,41,46,46,52,53,52,60,48,43,47,63,54,53,45,46,57,46,47,45,49,55,55,63,70,58,60,50,45,44,71,65,41,64,62,54,61,56,50,49,74,52,62,77,65,67,53,62,54,70,66,50,51,71,41,49,59,60,61,60,57,53,44,61,53,66,52,54,65,54,63,59,41,61,60,56,50,52,61,55,45,58,43,53,56,52,46,62,51,54,46,45,68,59,59,46,63,62,35,59,54,49,48,68,64,41,38,57,49,65,48,54,100,42,54,56,68,49,45,46,48,30,53,32
ferreteria,38,44,44,41,41,41,46,46,45,49,57,51,40,51,48,55,47,48,48,46,48,47,40,44,40,45,46,42,46,47,50,49,43,42,34,40,39,43,41,41,42,41,44,41,42,46,45,40,44,44,41,42,46,43,46,46,49,46,50,50,42,46,58,54,57,54,53,52,42,51,49,55,46,53,46,43,40,46,45,42,49,44,51,47,46,45,45,44,43,47,47,48,53,53,50,50,46,49,52,47,50,55,49,55,47,44,46,53,48,55,53,60,61,52,59,53,55,63,67,62,49,59,49,52,57,51,51,49,41,48,52,45,55,56,49,53,50,53,53,48,42,51,53,51,50,53,54,56,48,52,51,54,56,50,53,52,52,49,52,54,53,57,56,56,59,61,66,66,61,64,70,69,67,69,62,57,54,59,55,62,46,57,57,58,54,55,53,56,52,59,58,54,56,53,49,53,58,57,59,55,53,57,56,57,57,55,54,52,49,54,59,56,55,58,57,56,62,65,67,65,71,65,67,69,68,67,65,60,58,54,60,55,56,55,55,52,60,64,62,61,53,56,57,46,58,55,55,52,57,60,62,62,61,58,60,61,60,55,65,100,53
fontaneria,59,61,61,65,60,70,90,74,57,69,69,63,61,71,64,55,67,66,78,61,72,64,61,63,59,70,72,70,67,68,74,60,57,78,54,53,52,63,77,60,76,70,75,77,78,66,74,52,60,78,67,73,79,71,76,68,68,73,79,56,49,59,72,75,61,64,75,67,59,73,65,73,82,85,58,68,63,85,66,64,89,77,78,72,59,75,69,75,64,84,83,85,83,73,72,74,65,71,73,77,77,76,70,62,68,78,65,64,69,70,73,68,73,59,67,77,71,74,80,63,56,74,75,69,76,69,68,68,56,71,79,82,78,100,78,78,79,93,80,58,63,74,76,74,89,86,76,77,67,71,69,78,65,62,65,77,51,53,68,82,67,61,85,69,58,67,72,56,78,78,64,69,60,72,84,64,69,74,68,65,58,85,79,83,85,79,66,63,63,68,58,66,55,67,63,71,75,65,77,71,71,77,71,68,68,69,74,53,68,61,61,81,70,67,61,72,62,82,66,71,69,77,75,66,57,67,73,72,63,75,72,67,69,73,72,81,69,73,80,62,69,71,60,56,53,62,72,84,77,72,78,70,66,81,56,50,42,35,40,46,51
panaderia,40,32,32,32,29,27,36,37,36,28,29,30,38,37,39,42,33,43,39,31,36,29,28,35,32,34,32,33,31,39,29,35,33,37,44,42,55,27,32,38,35,34,35,36,32,39,44,54,43,32,35,35,38,37,37,37,35,34,38,34,43,49,50,45,55,39,49,48,44,51,48,54,45,36,42,40,45,43,44,42,41,39,37,36,49,42,61,57,71,35,40,44,37,37,46,45,46,39,40,43,39,42,61,47,45,42,37,46,33,40,47,38,48,34,42,41,40,53,44,54,52,58,39,43,39,43,43,41,52,43,39,48,42,49,47,54,50,37,58,65,85,38,40,42,47,49,53,45,43,42,45,43,54,51,46,50,44,51,40,45,44,49,48,46,49,48,41,48,50,50,57,55,67,57,55,48,49,45,48,39,50,47,47,55,56,51,46,53,54,47,56,73,88,52,48,42,45,49,46,47,52,47,54,55,51,47,60,80,55,61,45,54,47,42,49,53,62,51,50,44,51,64,61,66,75,76,59,57,51,43,53,56,49,49,46,56,53,54,59,43,59,52,61,74,94,69,47,49,50,48,50,51,50,54,46,65,62,72,100,71,55
cerveza,57,52,57,57,51,58,53,55,64,67,67,69,64,69,72,69,62,68,59,56,57,62,59,56,60,53,56,57,52,57,54,50,55,58,56,61,55,48,48,56,47,52,50,61,55,55,60,55,55,61,55,59,64,64,59,60,60,63,64,62,61,59,64,65,66,65,72,59,58,72,68,65,57,69,61,63,76,58,56,53,53,58,48,53,59,52,55,59,54,49,50,57,60,58,57,58,63,59,67,66,67,59,66,64,62,64,61,58,61,64,61,67,66,65,67,68,68,72,73,79,71,70,69,67,61,59,68,62,68,59,56,55,53,58,55,55,63,60,60,63,53,48,57,57,53,53,55,59,56,63,59,61,69,69,58,71,67,62,60,64,62,60,64,65,67,66,67,69,73,76,89,83,77,79,73,67,63,67,70,61,67,67,54,56,59,56,55,60,59,56,54,65,58,52,49,51,53,57,59,61,60,65,70,75,70,59,58,64,60,62,65,66,65,63,66,69,68,74,74,71,74,80,85,80,84,76,74,70,65,66,66,73,67,58,61,61,54,55,58,58,59,61,58,66,71,54,54,53,59,59,57,60,61,66,52,45,61,100,89,80,79
vino,36,33,33,32,28,30,32,34,32,27,32,30,31,33,35,35,38,39,37,39,36,37,38,39,41,39,39,40,41,41,41,44,53,56,75,66,42,39,35,38,37,40,40,39,38,40,43,46,42,36,40,40,37,40,35,38,35,34,34,33,35,31,33,35,34,36,39,37,39,43,40,40,41,41,42,45,46,45,42,48,47,47,46,49,59,68,90,86,60,45,44,50,46,50,48,48,48,45,45,54,47,42,49,47,41,43,39,40,35,37,36,36,36,34,36,36,39,35,37,42,41,42,42,44,41,43,42,37,43,41,40,42,45,50,47,49,63,62,80,86,62,39,41,41,42,40,40,42,44,44,42,44,53,49,43,45,41,46,40,42,39,36,37,36,35,35,34,37,41,43,40,43,47,47,45,40,42,40,41,44,47,44,45,50,49,53,48,55,64,65,79,96,74,45,41,38,41,43,43,41,41,42,43,48,43,44,45,51,47,44,42,42,41,39,38,40,41,40,36,40,38,41,42,47,51,50,44,46,43,43,45,44,47,41,43,47,47,50,55,52,59,70,81,100,83,50,43,44,42,45,46,43,43,42,31,29,38,41,53,47,62
agua,67,67,72,68,62,70,68,66,71,76,80,80,79,73,75,75,74,71,65,61,60,60,64,61,60,62,61,62,59,59,60,60,57,56,49,58,64,65,65,63,64,63,65,72,61,62,61,61,66,67,66,68,67,64,67,71,70,70,77,70,74,70,76,76,78,84,80,77,75,75,71,70,63,62,64,63,67,65,63,65,65,64,69,66,67,64,60,60,65,68,75,68,65,66,64,63,62,65,67,69,68,67,68,68,66,65,67,70,72,75,74,88,88,74,76,80,83,80,83,80,79,77,71,65,63,62,62,59,61,66,61,61,68,68,66,67,68,66,59,63,64,67,67,74,66,74,78,81,82,91,81,79,76,71,75,69,70,69,67,70,75,70,71,76,82,78,79,85,84,87,92,91,86,86,78,75,65,69,68,65,69,73,70,70,71,72,68,64,62,64,57,62,66,68,72,70,69,68,65,69,67,65,70,73,73,66,68,66,67,67,69,71,71,72,73,74,77,84,100,86,89,89,86,89,92,89,81,72,73,70,70,67,68,68,73,67,69,70,74,67,71,69,65,65,69,69,73,75,71,71,69,69,68,67,61,67,74,72,80,85,95
cigarrillos,34,36,35,33,40,40,25,21,41,41,25,28,39,46,39,46,44,52,40,49,34,45,35,32,32,42,29,31,43,46,37,44,50,27,45,32,55,55,62,41,37,50,28,28,49,44,51,31,34,54,30,32,39,35,40,26,38,31,36,21,32,25,41,24,41,29,41,25,37,55,44,46,36,41,46,53,38,37,67,53,44,49,40,43,69,43,50,52,51,53,60,47,44,49,48,65,51,45,60,67,28,61,50,55,40,44,43,28,67,47,52,25,45,42,56,55,42,52,39,67,53,67,51,46,49,47,42,44,63,57,62,52,54,49,48,62,52,67,54,64,72,72,79,100,79,90,99,66,62,54,70,58,61,62,56,38,48,48,52,42,61,56,59,43,44,35,44,49,44,52,48,48,64,48,64,68,72,62,61,53,58,45,67,51,45,51,50,54,60,68,45,38,73,69,44,40,73,54,79,68,65,60,67,51,72,60,50,35,54,55,54,40,42,45,56,39,41,47,46,35,48,43,56,55,53,44,56,76,72,57,55,39,42,39,30,35,48,48,43,42,34,42,32,40,44,50,49,49,45,42,49,32,45,41,28,27,46,43,40,41,46
television,81,81,79,72,84,80,86,74,71,70,77,67,61,63,71,78,79,83,79,86,91,76,70,73,80,82,71,74,78,76,76,73,80,73,84,91,83,71,69,73,75,77,79,70,73,65,71,87,73,70,74,69,72,76,71,92,78,70,78,73,59,58,56,55,55,60,61,68,73,61,65,66,67,66,69,56,65,69,67,72,67,71,66,67,69,70,72,77,92,72,74,72,72,71,67,65,65,67,63,63,61,62,69,66,60,63,67,68,62,63,59,58,53,56,53,59,55,55,54,70,68,66,70,72,70,64,59,64,71,65,67,64,67,62,69,63,68,64,64,68,76,62,67,76,78,86,100,76,62,64,65,67,85,78,79,77,68,71,76,80,79,73,70,79,67,66,60,63,60,66,62,55,74,53,58,59,60,58,55,55,54,54,52,60,55,59,57,52,57,53,58,58,71,59,54,58,51,54,52,53,58,50,51,51,49,47,49,58,55,47,48,46,52,52,48,50,43,42,41,52,42,46,46,44,53,46,50,48,53,51,49,47,45,48,47,46,48,49,47,53,46,49,49,54,60,61,51,58,54,55,60,49,52,49,55,65,65,67,75,58,70
pintura,46,46,45,47,44,45,45,45,41,38,41,41,42,46,43,44,47,45,45,48,45,47,45,49,46,49,65,48,49,48,43,43,46,41,31,36,40,47,50,52,62,62,52,52,55,55,56,54,54,55,55,53,51,53,57,56,56,51,52,49,43,45,42,42,42,45,48,43,41,46,49,51,50,49,50,49,54,52,58,64,50,50,44,49,47,46,37,39,40,47,50,46,52,54,56,64,57,57,56,54,58,51,49,53,49,51,52,52,48,53,47,47,46,43,47,46,46,46,47,47,43,47,49,44,46,47,49,46,50,49,55,63,49,49,47,46,46,46,38,38,36,43,46,50,52,61,55,53,48,50,51,49,45,48,48,50,51,50,52,52,51,54,52,52,48,46,48,46,46,45,49,47,46,50,52,48,52,50,49,49,49,51,54,61,49,51,44,47,50,48,42,39,39,43,46,46,52,54,51,54,66,57,56,55,58,53,53,50,51,50,48,52,53,49,49,51,48,45,44,49,47,44,46,50,49,52,50,51,47,48,49,49,48,48,52,68,46,48,47,46,47,49,44,35,38,44,50,47,52,52,57,71,58,55,48,59,68,77,100,97,92
alfombra,25,27,22,22,18,22,29,21,17,17,27,23,18,17,24,23,26,28,24,28,27,38,29,28,30,30,29,39,26,35,31,33,42,29,24,27,40,44,35,34,41,59,34,32,100,37,25,25,31,28,36,28,29,39,30,30,31,26,18,19,17,23,20,30,23,27,31,24,29,29,32,28,33,41,29,36,41,32,39,45,43,42,40,41,43,41,27,39,36,60,46,44,52,76,49,29,84,32,33,38,36,26,36,20,32,23,30,28,30,32,29,29,22,26,22,26,34,24,30,33,29,33,38,45,40,41,42,33,38,37,37,41,57,47,45,49,62,41,43,32,33,42,44,44,63,64,41,42,40,78,46,31,37,32,35,34,34,36,42,38,30,37,36,33,24,26,32,29,28,29,29,30,33,37,33,36,43,40,48,40,48,49,56,50,68,52,55,55,65,48,46,48,37,59,46,48,61,69,42,40,73,39,36,36,43,39,39,32,39,40,34,38,35,26,34,30,34,37,34,32,32,34,39,40,36,34,39,49,44,42,48,40,44,51,53,49,53,57,55,62,50,52,50,42,49,56,54,70,70,51,88,40,43,38,29,29,34,37,50,55,78
