,2015-04-26,2015-05-03,2015-05-10,2015-05-17,2015-05-24,2015-05-31,2015-06-07,2015-06-14,2015-06-21,2015-06-28,2015-07-05,2015-07-12,2015-07-19,2015-07-26,2015-08-02,2015-08-09,2015-08-16,2015-08-23,2015-08-30,2015-09-06,2015-09-13,2015-09-20,2015-09-27,2015-10-04,2015-10-11,2015-10-18,2015-10-25,2015-11-01,2015-11-08,2015-11-15,2015-11-22,2015-11-29,2015-12-06,2015-12-13,2015-12-20,2015-12-27,2016-01-03,2016-01-10,2016-01-17,2016-01-24,2016-01-31,2016-02-07,2016-02-14,2016-02-21,2016-02-28,2016-03-06,2016-03-13,2016-03-20,2016-03-27,2016-04-03,2016-04-10,2016-04-17,2016-04-24,2016-05-01,2016-05-08,2016-05-15,2016-05-22,2016-05-29,2016-06-05,2016-06-12,2016-06-19,2016-06-26,2016-07-03,2016-07-10,2016-07-17,2016-07-24,2016-07-31,2016-08-07,2016-08-14,2016-08-21,2016-08-28,2016-09-04,2016-09-11,2016-09-18,2016-09-25,2016-10-02,2016-10-09,2016-10-16,2016-10-23,2016-10-30,2016-11-06,2016-11-13,2016-11-20,2016-11-27,2016-12-04,2016-12-11,2016-12-18,2016-12-25,2017-01-01,2017-01-08,2017-01-15,2017-01-22,2017-01-29,2017-02-05,2017-02-12,2017-02-19,2017-02-26,2017-03-05,2017-03-12,2017-03-19,2017-03-26,2017-04-02,2017-04-09,2017-04-16,2017-04-23,2017-04-30,2017-05-07,2017-05-14,2017-05-21,2017-05-28,2017-06-04,2017-06-11,2017-06-18,2017-06-25,2017-07-02,2017-07-09,2017-07-16,2017-07-23,2017-07-30,2017-08-06,2017-08-13,2017-08-20,2017-08-27,2017-09-03,2017-09-10,2017-09-17,2017-09-24,2017-10-01,2017-10-08,2017-10-15,2017-10-22,2017-10-29,2017-11-05,2017-11-12,2017-11-19,2017-11-26,2017-12-03,2017-12-10,2017-12-17,2017-12-24,2017-12-31,2018-01-07,2018-01-14,2018-01-21,2018-01-28,2018-02-04,2018-02-11,2018-02-18,2018-02-25,2018-03-04,2018-03-11,2018-03-18,2018-03-25,2018-04-01,2018-04-08,2018-04-15,2018-04-22,2018-04-29,2018-05-06,2018-05-13,2018-05-20,2018-05-27,2018-06-03,2018-06-10,2018-06-17,2018-06-24,2018-07-01,2018-07-08,2018-07-15,2018-07-22,2018-07-29,2018-08-05,2018-08-12,2018-08-19,2018-08-26,2018-09-02,2018-09-09,2018-09-16,2018-09-23,2018-09-30,2018-10-07,2018-10-14,2018-10-21,2018-10-28,2018-11-04,2018-11-11,2018-11-18,2018-11-25,2018-12-02,2018-12-09,2018-12-16,2018-12-23,2018-12-30,2019-01-06,2019-01-13,2019-01-20,2019-01-27,2019-02-03,2019-02-10,2019-02-17,2019-02-24,2019-03-03,2019-03-10,2019-03-17,2019-03-24,2019-03-31,2019-04-07,2019-04-14,2019-04-21,2019-04-28,2019-05-05,2019-05-12,2019-05-19,2019-05-26,2019-06-02,2019-06-09,2019-06-16,2019-06-23,2019-06-30,2019-07-07,2019-07-14,2019-07-21,2019-07-28,2019-08-04,2019-08-11,2019-08-18,2019-08-25,2019-09-01,2019-09-08,2019-09-15,2019-09-22,2019-09-29,2019-10-06,2019-10-13,2019-10-20,2019-10-27,2019-11-03,2019-11-10,2019-11-17,2019-11-24,2019-12-01,2019-12-08,2019-12-15,2019-12-22,2019-12-29,2020-01-05,2020-01-12,2020-01-19,2020-01-26,2020-02-02,2020-02-09,2020-02-16,2020-02-23,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19
vivienda,74,78,82,74,71,70,71,76,73,56,57,58,61,64,54,53,60,55,55,60,68,62,62,61,62,62,62,60,61,59,58,56,53,55,45,51,53,65,68,64,67,69,64,68,67,66,64,53,72,96,93,81,79,80,84,80,74,74,74,69,74,66,59,62,60,57,56,54,53,60,62,60,67,69,68,67,60,64,69,71,72,69,65,63,54,62,52,61,53,73,73,73,73,74,76,74,72,72,72,69,77,86,74,84,80,91,89,84,81,84,80,80,82,70,78,68,66,62,64,66,50,62,61,66,80,67,68,67,60,65,70,64,70,68,63,64,58,65,54,57,61,72,75,78,74,72,77,83,74,93,85,75,68,100,92,89,80,76,84,88,86,80,76,73,77,74,67,67,66,68,71,65,64,65,71,76,75,73,73,72,69,70,67,58,69,69,65,68,60,66,62,55,61,70,71,69,74,71,73,76,73,75,71,75,83,95,87,63,76,69,80,76,80,73,79,78,79,70,68,65,60,60,62,59,57,64,65,66,62,64,65,70,65,67,65,63,67,62,65,62,57,56,55,50,50,61,72,71,73,70,74,75,68,72,54,36,35,69,69,72,63
reparacion,71,77,79,67,70,74,72,74,80,85,94,91,100,94,89,91,91,92,85,84,79,81,77,74,79,78,73,75,88,85,77,81,75,76,66,76,81,83,80,78,80,82,81,83,75,84,82,72,83,69,73,71,78,73,69,74,75,78,77,80,78,79,93,87,92,90,93,94,79,94,94,92,88,86,79,82,75,91,86,84,84,80,90,82,81,79,80,70,83,87,79,79,76,85,81,79,76,73,84,77,74,80,68,87,74,75,75,74,77,80,77,93,88,85,92,91,87,91,99,99,84,93,89,81,77,81,75,66,65,80,71,69,80,76,76,69,71,82,68,84,65,80,76,74,73,72,74,79,72,79,69,71,61,73,68,75,62,71,71,71,74,65,77,73,76,85,86,78,81,88,91,100,87,93,86,80,81,82,78,83,78,82,76,74,82,78,71,71,63,77,68,70,76,78,76,75,70,72,70,79,65,73,82,74,80,63,78,62,73,66,72,67,66,65,71,71,74,79,86,74,84,78,72,71,77,86,75,81,80,78,78,73,62,61,72,59,73,76,71,60,68,72,69,64,67,70,75,78,74,72,67,72,64,68,49,35,43,45,46,49,52
instalacion,75,74,75,81,78,75,87,79,65,84,99,87,76,100,92,86,75,76,73,82,80,77,76,81,87,86,87,81,80,84,88,86,77,77,57,69,74,85,80,85,74,78,74,81,84,73,77,73,80,75,78,73,73,69,71,78,82,71,81,76,78,68,74,77,61,72,72,62,45,62,67,75,75,71,68,80,68,72,69,74,77,84,69,69,74,78,63,64,61,81,82,88,85,79,78,75,72,71,78,71,74,66,55,64,75,60,71,69,72,68,73,93,97,73,70,67,63,60,65,71,52,59,60,55,64,64,76,63,55,68,72,67,73,77,69,72,72,70,63,62,58,74,71,76,67,73,67,67,65,58,64,64,62,57,59,61,64,58,60,66,73,67,66,62,67,65,57,60,57,59,62,64,51,65,59,58,55,59,62,70,64,66,69,64,70,72,69,71,58,60,57,52,52,67,71,66,67,66,62,61,57,62,62,65,63,70,67,48,51,49,63,64,62,59,65,58,62,67,68,64,59,59,54,44,54,52,50,53,55,54,54,55,56,58,59,53,58,70,70,60,62,56,60,50,52,59,61,63,64,61,62,61,58,62,52,42,44,46,46,51,44
construccion,85,92,84,91,83,86,86,88,87,80,85,73,73,76,75,74,69,66,76,72,82,84,74,85,73,87,98,85,88,92,99,83,86,77,65,73,75,89,81,95,91,98,82,93,85,86,81,77,92,74,98,83,86,75,93,93,81,97,88,80,82,77,77,78,75,75,82,66,54,68,77,77,81,80,87,100,83,87,90,91,90,87,87,88,82,81,92,72,81,95,92,84,89,93,95,91,84,85,94,95,100,93,76,94,89,80,88,83,87,82,83,87,82,72,83,81,73,79,70,65,65,70,65,74,82,74,88,81,82,79,75,72,90,83,90,95,79,87,83,77,75,87,98,99,71,89,94,97,97,93,86,88,79,82,79,88,93,73,77,78,88,85,85,79,79,70,73,72,74,78,69,72,63,78,77,68,78,90,77,85,77,76,79,77,83,87,77,83,77,90,87,60,68,90,78,79,77,85,87,78,90,79,90,91,84,89,77,84,70,74,91,83,78,87,74,79,68,71,73,67,81,55,71,64,58,70,76,80,72,81,76,78,85,71,72,81,81,75,74,74,79,79,71,56,68,75,79,79,85,86,75,88,89,83,70,93,89,77,81,92,63
reforma,70,66,61,70,67,64,62,64,51,82,81,70,67,49,44,40,41,43,50,64,60,57,63,69,78,76,71,66,65,64,68,63,57,71,48,42,46,57,67,61,74,58,62,69,59,67,70,52,61,71,65,59,60,67,60,65,63,64,63,54,52,56,47,44,41,41,37,32,33,37,49,45,47,55,55,58,53,60,60,60,59,70,64,66,70,66,47,41,37,51,58,57,51,53,54,61,52,52,61,57,63,54,51,50,56,54,58,51,56,55,54,50,51,51,42,52,44,45,41,32,27,36,39,41,48,59,56,62,55,60,61,66,59,64,54,58,45,59,49,46,36,55,63,54,57,62,62,57,52,55,59,58,43,56,52,58,63,57,61,56,54,54,63,60,51,44,43,47,49,49,39,39,38,45,48,47,55,58,56,56,54,52,64,54,59,64,50,57,49,52,47,47,53,49,50,56,52,50,64,65,62,65,64,59,66,59,56,48,59,79,97,84,81,73,73,77,75,66,66,100,89,41,39,42,37,39,46,50,41,45,45,54,45,45,50,51,55,53,50,53,50,47,51,39,51,57,65,64,53,55,58,75,54,63,42,34,37,39,40,49,50
