,2015-04-26,2015-05-03,2015-05-10,2015-05-17,2015-05-24,2015-05-31,2015-06-07,2015-06-14,2015-06-21,2015-06-28,2015-07-05,2015-07-12,2015-07-19,2015-07-26,2015-08-02,2015-08-09,2015-08-16,2015-08-23,2015-08-30,2015-09-06,2015-09-13,2015-09-20,2015-09-27,2015-10-04,2015-10-11,2015-10-18,2015-10-25,2015-11-01,2015-11-08,2015-11-15,2015-11-22,2015-11-29,2015-12-06,2015-12-13,2015-12-20,2015-12-27,2016-01-03,2016-01-10,2016-01-17,2016-01-24,2016-01-31,2016-02-07,2016-02-14,2016-02-21,2016-02-28,2016-03-06,2016-03-13,2016-03-20,2016-03-27,2016-04-03,2016-04-10,2016-04-17,2016-04-24,2016-05-01,2016-05-08,2016-05-15,2016-05-22,2016-05-29,2016-06-05,2016-06-12,2016-06-19,2016-06-26,2016-07-03,2016-07-10,2016-07-17,2016-07-24,2016-07-31,2016-08-07,2016-08-14,2016-08-21,2016-08-28,2016-09-04,2016-09-11,2016-09-18,2016-09-25,2016-10-02,2016-10-09,2016-10-16,2016-10-23,2016-10-30,2016-11-06,2016-11-13,2016-11-20,2016-11-27,2016-12-04,2016-12-11,2016-12-18,2016-12-25,2017-01-01,2017-01-08,2017-01-15,2017-01-22,2017-01-29,2017-02-05,2017-02-12,2017-02-19,2017-02-26,2017-03-05,2017-03-12,2017-03-19,2017-03-26,2017-04-02,2017-04-09,2017-04-16,2017-04-23,2017-04-30,2017-05-07,2017-05-14,2017-05-21,2017-05-28,2017-06-04,2017-06-11,2017-06-18,2017-06-25,2017-07-02,2017-07-09,2017-07-16,2017-07-23,2017-07-30,2017-08-06,2017-08-13,2017-08-20,2017-08-27,2017-09-03,2017-09-10,2017-09-17,2017-09-24,2017-10-01,2017-10-08,2017-10-15,2017-10-22,2017-10-29,2017-11-05,2017-11-12,2017-11-19,2017-11-26,2017-12-03,2017-12-10,2017-12-17,2017-12-24,2017-12-31,2018-01-07,2018-01-14,2018-01-21,2018-01-28,2018-02-04,2018-02-11,2018-02-18,2018-02-25,2018-03-04,2018-03-11,2018-03-18,2018-03-25,2018-04-01,2018-04-08,2018-04-15,2018-04-22,2018-04-29,2018-05-06,2018-05-13,2018-05-20,2018-05-27,2018-06-03,2018-06-10,2018-06-17,2018-06-24,2018-07-01,2018-07-08,2018-07-15,2018-07-22,2018-07-29,2018-08-05,2018-08-12,2018-08-19,2018-08-26,2018-09-02,2018-09-09,2018-09-16,2018-09-23,2018-09-30,2018-10-07,2018-10-14,2018-10-21,2018-10-28,2018-11-04,2018-11-11,2018-11-18,2018-11-25,2018-12-02,2018-12-09,2018-12-16,2018-12-23,2018-12-30,2019-01-06,2019-01-13,2019-01-20,2019-01-27,2019-02-03,2019-02-10,2019-02-17,2019-02-24,2019-03-03,2019-03-10,2019-03-17,2019-03-24,2019-03-31,2019-04-07,2019-04-14,2019-04-21,2019-04-28,2019-05-05,2019-05-12,2019-05-19,2019-05-26,2019-06-02,2019-06-09,2019-06-16,2019-06-23,2019-06-30,2019-07-07,2019-07-14,2019-07-21,2019-07-28,2019-08-04,2019-08-11,2019-08-18,2019-08-25,2019-09-01,2019-09-08,2019-09-15,2019-09-22,2019-09-29,2019-10-06,2019-10-13,2019-10-20,2019-10-27,2019-11-03,2019-11-10,2019-11-17,2019-11-24,2019-12-01,2019-12-08,2019-12-15,2019-12-22,2019-12-29,2020-01-05,2020-01-12,2020-01-19,2020-01-26,2020-02-02,2020-02-09,2020-02-16,2020-02-23,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19
obtener seguro,28,28,28,27,0,28,28,28,44,29,0,30,31,0,31,0,32,30,0,0,27,52,0,26,26,50,25,0,26,26,25,26,27,0,0,0,0,28,56,28,28,28,0,0,28,28,29,0,29,83,56,27,0,29,55,30,29,58,59,29,31,31,32,32,0,50,35,0,0,71,0,64,31,60,30,29,30,30,29,0,59,29,27,0,29,29,0,33,31,0,0,27,26,27,40,0,39,27,79,26,0,27,46,28,39,27,65,43,28,0,28,29,0,29,30,30,30,59,29,30,31,58,28,0,54,27,52,26,40,38,38,64,52,26,50,25,0,0,27,0,55,25,50,25,25,37,25,0,24,47,24,37,83,100,24,24,24,25,48,37,25,24,24,23,25,51,50,0,26,52,0,52,53,40,0,0,0,49,59,24,25,59,36,25,0,24,23,24,0,25,25,57,27,25,0,0,23,0,24,49,24,24,0,49,49,0,47,25,24,24,23,58,0,23,23,34,48,25,24,24,25,49,25,76,26,0,0,23,22,0,33,45,55,22,22,22,21,0,21,21,33,45,65,24,24,22,20,20,21,21,21,0,20,20,0,29,18,18,38,45,0
inversion,83,95,94,92,77,86,91,98,83,81,85,100,67,73,72,54,61,80,67,58,59,68,71,83,77,79,80,79,80,73,74,77,70,86,49,59,69,84,91,92,78,83,83,74,73,75,68,56,61,83,76,76,81,63,74,78,74,82,69,68,72,62,63,56,65,51,55,48,36,54,58,62,56,65,59,68,69,87,68,59,71,79,67,70,71,78,67,69,71,88,86,81,72,78,76,81,83,90,76,85,79,75,60,75,74,71,81,75,73,82,89,69,70,65,69,61,66,63,53,49,42,42,51,53,50,59,59,65,53,67,61,68,77,76,64,79,68,70,62,59,64,75,79,83,88,81,68,77,69,66,61,76,55,74,68,79,58,54,68,73,74,74,67,67,64,59,49,61,60,49,43,43,39,43,57,50,53,58,61,64,65,64,68,51,62,53,55,61,53,77,58,57,60,51,68,60,68,58,57,72,61,63,61,72,65,72,69,53,55,52,59,62,61,60,58,52,54,48,58,50,60,48,46,41,36,49,41,44,48,55,55,61,59,57,58,57,63,67,66,54,56,65,62,58,62,65,72,72,74,75,79,74,76,76,81,73,77,57,74,73,50
solicitar crédito,0,0,21,0,0,21,0,0,0,0,22,22,45,22,0,47,24,0,20,0,0,29,19,38,20,19,0,0,19,19,0,0,0,39,0,0,0,41,42,21,0,21,21,21,0,0,44,24,0,42,0,20,0,21,20,44,0,0,0,22,23,23,0,0,0,0,0,0,0,26,0,0,0,23,22,0,0,22,22,0,0,0,20,0,0,21,0,0,0,21,20,20,20,20,0,0,19,0,19,0,0,0,0,41,19,0,0,0,0,0,21,32,42,0,23,0,22,0,22,22,0,0,21,41,20,0,0,19,20,19,29,19,0,19,0,0,21,20,0,0,20,18,37,18,18,18,37,37,0,0,0,46,31,38,0,18,18,0,18,19,0,0,18,26,19,19,19,19,19,39,19,29,40,30,29,0,55,27,18,36,28,18,18,19,35,27,26,36,0,19,19,43,0,19,26,25,17,18,18,27,36,27,0,0,18,52,17,18,36,0,53,17,26,34,33,17,63,0,18,18,64,18,38,19,29,19,18,25,25,49,33,42,16,24,16,33,16,0,16,38,49,42,32,27,27,16,15,59,15,23,15,54,30,22,14,21,27,87,36,54,100
comprar acciones,11,19,15,11,12,13,16,22,11,22,12,9,18,12,13,21,16,17,21,15,11,30,14,17,16,21,14,24,12,16,8,16,25,21,14,19,25,28,20,20,21,22,18,14,14,25,18,9,11,15,14,21,14,13,15,17,16,16,8,13,25,24,16,20,25,17,16,6,20,17,5,11,10,9,8,9,18,8,23,15,18,19,17,14,8,17,16,14,15,17,16,12,17,14,19,15,20,18,18,15,19,24,21,19,16,14,17,20,21,16,36,24,15,13,19,18,22,14,12,18,14,13,18,11,8,11,9,17,18,13,11,11,14,16,13,9,19,22,22,17,18,24,17,19,15,23,19,16,17,8,14,17,11,13,9,10,12,13,15,13,9,15,17,13,19,19,10,8,13,10,23,9,18,14,15,24,13,16,14,16,13,14,21,17,18,24,23,16,8,10,13,15,20,24,14,14,17,18,16,12,13,15,18,14,16,19,10,17,12,16,13,15,16,14,16,12,13,21,14,14,8,15,7,20,20,21,10,10,9,12,16,17,15,10,8,20,25,16,17,17,16,22,19,15,20,16,25,22,23,34,20,20,36,37,100,98,52,49,48,57,47
solicitar hipoteca,19,7,11,15,7,8,15,11,8,12,0,16,12,12,17,17,9,8,7,15,18,17,41,10,18,13,10,20,14,21,7,10,7,21,12,8,16,15,15,19,8,15,15,22,15,7,16,9,24,11,26,7,8,15,15,20,16,8,16,16,8,8,35,13,9,9,0,30,31,9,17,17,17,20,16,24,8,8,8,25,8,24,0,15,16,15,25,13,8,41,51,72,46,39,21,36,38,29,28,25,29,18,17,15,17,18,21,23,15,38,23,15,23,23,16,20,8,8,16,20,17,24,11,37,15,21,18,28,14,14,14,7,10,14,17,24,15,25,15,20,11,17,23,20,7,16,14,23,19,29,13,10,7,17,22,16,26,20,19,20,33,13,29,19,20,7,7,13,10,14,28,14,0,14,21,10,20,20,32,16,17,35,26,13,22,16,15,16,0,17,20,12,15,17,10,9,6,19,6,10,19,16,23,26,23,19,19,30,16,6,38,13,16,19,9,12,10,13,16,6,10,7,14,10,7,13,10,30,12,9,18,18,18,23,12,9,11,11,23,19,6,12,17,10,20,6,13,29,8,11,22,14,22,19,13,100,87,68,39,29,36
evaluacion de riesgos,89,66,88,71,60,42,35,37,38,27,28,100,17,22,29,29,41,28,40,46,35,24,47,24,54,32,33,42,34,38,56,62,50,39,16,22,11,36,88,26,26,36,31,26,47,62,48,41,71,41,46,56,58,48,61,82,69,70,66,32,23,45,24,48,36,25,20,27,43,26,18,29,29,39,33,33,28,55,76,17,33,49,45,26,22,27,51,25,17,36,45,45,59,39,64,75,29,35,58,49,56,61,23,41,43,46,34,64,52,57,52,69,26,38,22,22,66,27,27,28,46,32,31,15,15,39,53,43,45,47,28,38,43,58,46,28,16,24,55,33,51,46,32,37,27,36,37,28,49,49,40,46,62,37,39,54,76,51,67,28,36,63,44,52,23,14,28,14,14,19,19,29,0,30,33,27,14,31,35,22,23,31,36,23,56,40,55,62,28,37,32,16,15,41,31,45,30,18,67,53,40,32,27,36,32,52,22,14,31,26,47,26,43,26,38,26,40,27,23,44,45,18,28,9,10,14,22,33,29,29,33,41,37,40,28,41,28,31,23,50,41,34,56,18,36,8,26,18,38,46,42,38,64,51,21,39,37,33,39,60,50
tarjeta de credito,56,46,59,53,64,62,58,67,60,66,69,70,74,76,80,84,76,85,63,72,56,57,64,67,61,74,59,72,79,67,63,67,81,75,56,68,65,49,77,55,66,60,60,70,70,64,53,58,60,52,65,54,56,66,67,67,57,63,60,58,65,64,88,71,70,64,78,46,62,73,60,75,63,60,73,72,66,67,59,66,74,59,65,69,72,74,59,69,81,63,70,72,72,78,79,66,66,55,66,61,70,80,69,65,70,72,77,73,69,74,63,67,82,74,69,88,73,81,87,91,57,94,61,77,60,54,59,63,60,65,72,74,75,75,84,76,75,71,54,69,65,66,73,74,72,63,66,81,74,58,67,55,61,75,74,77,69,66,70,77,59,71,63,70,57,72,76,82,94,84,86,82,75,83,88,80,71,85,86,67,66,59,73,67,76,71,77,76,92,74,59,72,82,74,63,68,76,76,75,63,69,77,72,67,85,90,64,67,78,71,74,75,78,72,75,82,74,82,81,82,78,78,80,85,83,81,73,95,70,65,65,97,72,64,67,80,78,67,73,84,80,70,68,72,72,85,85,75,65,100,78,78,69,79,71,66,71,79,76,70,59
