,2015-04-26,2015-05-03,2015-05-10,2015-05-17,2015-05-24,2015-05-31,2015-06-07,2015-06-14,2015-06-21,2015-06-28,2015-07-05,2015-07-12,2015-07-19,2015-07-26,2015-08-02,2015-08-09,2015-08-16,2015-08-23,2015-08-30,2015-09-06,2015-09-13,2015-09-20,2015-09-27,2015-10-04,2015-10-11,2015-10-18,2015-10-25,2015-11-01,2015-11-08,2015-11-15,2015-11-22,2015-11-29,2015-12-06,2015-12-13,2015-12-20,2015-12-27,2016-01-03,2016-01-10,2016-01-17,2016-01-24,2016-01-31,2016-02-07,2016-02-14,2016-02-21,2016-02-28,2016-03-06,2016-03-13,2016-03-20,2016-03-27,2016-04-03,2016-04-10,2016-04-17,2016-04-24,2016-05-01,2016-05-08,2016-05-15,2016-05-22,2016-05-29,2016-06-05,2016-06-12,2016-06-19,2016-06-26,2016-07-03,2016-07-10,2016-07-17,2016-07-24,2016-07-31,2016-08-07,2016-08-14,2016-08-21,2016-08-28,2016-09-04,2016-09-11,2016-09-18,2016-09-25,2016-10-02,2016-10-09,2016-10-16,2016-10-23,2016-10-30,2016-11-06,2016-11-13,2016-11-20,2016-11-27,2016-12-04,2016-12-11,2016-12-18,2016-12-25,2017-01-01,2017-01-08,2017-01-15,2017-01-22,2017-01-29,2017-02-05,2017-02-12,2017-02-19,2017-02-26,2017-03-05,2017-03-12,2017-03-19,2017-03-26,2017-04-02,2017-04-09,2017-04-16,2017-04-23,2017-04-30,2017-05-07,2017-05-14,2017-05-21,2017-05-28,2017-06-04,2017-06-11,2017-06-18,2017-06-25,2017-07-02,2017-07-09,2017-07-16,2017-07-23,2017-07-30,2017-08-06,2017-08-13,2017-08-20,2017-08-27,2017-09-03,2017-09-10,2017-09-17,2017-09-24,2017-10-01,2017-10-08,2017-10-15,2017-10-22,2017-10-29,2017-11-05,2017-11-12,2017-11-19,2017-11-26,2017-12-03,2017-12-10,2017-12-17,2017-12-24,2017-12-31,2018-01-07,2018-01-14,2018-01-21,2018-01-28,2018-02-04,2018-02-11,2018-02-18,2018-02-25,2018-03-04,2018-03-11,2018-03-18,2018-03-25,2018-04-01,2018-04-08,2018-04-15,2018-04-22,2018-04-29,2018-05-06,2018-05-13,2018-05-20,2018-05-27,2018-06-03,2018-06-10,2018-06-17,2018-06-24,2018-07-01,2018-07-08,2018-07-15,2018-07-22,2018-07-29,2018-08-05,2018-08-12,2018-08-19,2018-08-26,2018-09-02,2018-09-09,2018-09-16,2018-09-23,2018-09-30,2018-10-07,2018-10-14,2018-10-21,2018-10-28,2018-11-04,2018-11-11,2018-11-18,2018-11-25,2018-12-02,2018-12-09,2018-12-16,2018-12-23,2018-12-30,2019-01-06,2019-01-13,2019-01-20,2019-01-27,2019-02-03,2019-02-10,2019-02-17,2019-02-24,2019-03-03,2019-03-10,2019-03-17,2019-03-24,2019-03-31,2019-04-07,2019-04-14,2019-04-21,2019-04-28,2019-05-05,2019-05-12,2019-05-19,2019-05-26,2019-06-02,2019-06-09,2019-06-16,2019-06-23,2019-06-30,2019-07-07,2019-07-14,2019-07-21,2019-07-28,2019-08-04,2019-08-11,2019-08-18,2019-08-25,2019-09-01,2019-09-08,2019-09-15,2019-09-22,2019-09-29,2019-10-06,2019-10-13,2019-10-20,2019-10-27,2019-11-03,2019-11-10,2019-11-17,2019-11-24,2019-12-01,2019-12-08,2019-12-15,2019-12-22,2019-12-29,2020-01-05,2020-01-12,2020-01-19,2020-01-26,2020-02-02,2020-02-09,2020-02-16,2020-02-23,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19
inmobiliaria,73,84,75,71,71,75,77,76,78,78,79,75,78,83,77,74,75,81,82,82,81,83,82,74,79,73,74,77,80,75,63,69,60,64,48,57,66,76,79,85,84,82,83,80,74,86,84,72,81,85,86,82,75,79,80,78,77,78,74,76,76,72,81,76,80,78,78,74,75,84,89,90,88,84,80,83,78,83,76,73,76,79,69,69,60,66,55,60,67,79,89,81,95,88,90,92,81,86,95,90,100,83,73,83,80,84,79,86,82,80,87,86,84,87,90,80,86,83,85,96,69,83,84,91,94,83,86,82,75,86,81,75,85,81,75,67,62,69,54,65,60,77,88,89,88,86,93,95,85,86,85,85,74,83,82,84,84,83,82,85,82,89,81,84,76,77,74,77,81,85,85,84,74,84,85,91,89,92,83,78,74,79,79,64,78,70,67,70,64,68,56,57,63,81,81,78,83,89,93,93,86,87,86,86,92,82,78,65,73,67,82,73,79,78,71,80,72,72,74,73,81,80,82,79,72,77,84,89,77,77,81,76,76,69,71,71,73,70,72,62,61,65,59,50,57,71,82,74,78,85,81,86,76,86,60,27,25,31,36,35,34
alquiler,70,71,75,79,75,81,82,81,83,86,89,90,89,90,88,84,84,82,81,77,74,68,67,66,64,63,60,59,61,58,55,57,54,53,44,54,67,77,79,76,79,78,77,80,81,79,78,77,83,85,84,82,82,83,82,90,88,89,92,88,90,91,97,96,98,97,100,92,87,93,98,93,88,83,80,77,75,73,70,70,68,69,65,61,64,62,49,60,69,85,82,83,83,83,80,82,83,83,84,84,87,86,79,87,81,84,85,88,88,90,92,96,100,96,94,97,95,97,99,95,88,87,92,90,86,80,79,74,73,72,71,68,72,71,65,62,64,62,53,60,64,77,83,84,82,76,81,85,80,83,79,81,77,87,82,85,79,82,81,84,84,82,84,83,83,87,89,92,91,92,93,92,88,91,92,87,83,83,80,75,72,71,72,63,72,69,62,66,61,62,57,60,64,78,79,75,76,78,78,80,82,81,80,81,83,81,79,69,73,73,77,79,81,80,83,83,84,88,86,85,87,91,89,90,85,86,85,82,75,75,76,76,72,65,65,65,63,61,62,58,57,57,53,53,61,66,76,71,74,73,71,75,69,71,51,29,32,46,44,47,54
contrato,79,87,87,88,90,92,86,86,84,89,85,76,86,88,66,62,64,70,83,80,87,83,96,85,82,92,94,83,87,91,85,98,96,92,60,60,66,88,82,87,89,83,90,93,89,85,90,64,82,86,87,78,91,83,91,85,91,95,89,85,77,82,85,76,73,71,62,57,52,65,83,79,87,95,93,90,81,95,94,80,87,94,86,83,65,86,78,70,65,85,85,87,92,89,99,92,89,89,84,88,89,88,63,82,81,76,88,85,83,84,82,87,82,81,83,83,75,75,74,62,53,65,78,78,82,82,83,83,74,80,85,70,91,88,83,83,68,76,69,59,61,79,86,77,88,79,81,87,87,82,79,82,60,78,81,79,82,69,83,87,81,86,87,81,78,78,84,77,76,68,70,62,51,62,72,76,84,89,89,88,83,86,87,73,80,88,79,85,77,78,79,54,56,82,84,76,84,87,88,86,83,89,87,79,100,85,83,53,77,60,84,83,78,79,86,81,82,74,75,69,64,59,67,61,55,62,63,77,67,81,83,90,88,79,81,78,83,80,79,75,68,76,68,50,59,79,87,79,84,87,85,84,86,84,69,74,68,74,59,64,38
idealista,66,71,73,69,66,72,70,70,69,74,72,73,79,75,70,68,76,81,81,81,77,76,74,70,73,71,71,69,71,73,66,64,62,65,49,67,59,63,71,68,72,71,64,66,63,63,68,61,66,62,65,69,62,67,64,63,68,66,67,66,63,59,67,68,66,66,72,70,65,69,82,86,79,74,68,71,73,67,66,70,66,68,63,61,58,59,56,61,67,74,72,78,79,79,79,77,72,72,74,73,78,72,69,75,71,72,77,78,74,71,74,72,75,72,77,77,76,80,82,87,82,83,99,94,92,87,80,75,82,77,72,76,78,80,74,67,69,73,64,69,72,80,88,87,81,80,88,85,82,76,79,84,74,83,81,81,80,77,79,86,85,80,82,83,77,76,77,77,81,82,83,85,78,83,92,88,83,88,84,78,73,78,76,70,76,76,66,73,67,74,64,64,75,84,88,82,89,86,88,86,86,82,85,85,90,84,75,70,75,78,83,83,90,84,80,82,81,79,77,83,86,90,94,86,84,90,94,94,90,89,85,87,85,80,81,77,77,78,78,71,71,76,68,68,80,88,96,92,96,93,96,100,91,91,68,41,44,50,61,62,68
